cest;descricao
28.018.00;Outros produtos de perfumaria ou de toucador preparados
28.019.00;Outras preparações cosméticas
28.020.00;Sabões de toucador, em barras, pedaços ou figuras moldadas
28.021.00;Outros sabões, produtos e preparações orgânicos tensoativos, inclusive papel, pastas (ouates), feltros e falsos tecidos, impregnados, revestidos ou recobertos de sabão ou de detergentes
28.022.00;Sabões de toucador sob outras formas
28.023.00;Produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondicionados para venda a retalho, mesmo contendo sabão
28.024.00;Lenços de papel, incluindo os de desmaquiar
28.024.01;Toalhas de mão
28.025.00;Apontadores de lápis para maquiagem
28.025.01;Espátulas, abre-cartas e raspadeiras
28.025.02;Lâminas de espátulas, de abre-cartas, de raspadeiras e de apontadores de lápis
28.026.00;Utensílios e sortidos de utensílios de manicuros ou de pedicuros (incluindo as limas para unhas)
28.027.00;Escovas e pincéis de barba, escovas para cabelos, para cílios ou para unhas e outras escovas de toucador de pessoas
28.027.01;"Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura; rodos de borracha ou de matérias flexíveis semelhantes, outros"
28.028.00;Pincéis para aplicação de produtos cosméticos
28.028.01;Pincéis e escovas, para artistas e pincéis de escrever
28.029.00;Vaporizadores de toucador, suas armações e cabeças de armações
28.030.00;Borlas ou esponjas para pós ou para aplicação de outros cosméticos ou de produtos de toucador
28.031.00;Malas e maletas de toucador
28.032.00;"Pentes, travessas para cabelo e artigos semelhantes; grampos (alfinetes) para cabelo; pinças ('pinceguiches'), onduladores, bobs (rolos) e artefatos semelhantes para penteados, e suas partes"
28.033.00;Mamadeiras
28.034.00;Chupetas e bicos para mamadeiras e para chupetas
28.035.00;Outras plantas e partes, para perfumaria, medicina e semelhantes
28.036.00;Vestuário e seus acessórios, de plásticos, inclusive luvas
28.037.00;Estatuetas e outros objetos de ornamentação, de plásticos
28.038.00;Outras obras de plásticos
28.039.00;Bolsas de folhas de plástico
28.040.00;Bolsas de matérias têxteis
28.041.00;Bolsas de outras matérias
28.042.00;Artigos de bolsos/bolsas, de outras matérias
28.043.00;Outros artefatos, de folhas de plásticos ou matérias têxteis
28.044.00;Outros artefatos, de outras matérias
28.045.00;Caixas e cartonagens, dobráveis, de papel/cartão, não ondulados
28.046.00;Outros sacos, bolsas e cartuchos, de papel ou cartão
28.047.00;Etiquetas de papel ou cartão, impressas
28.048.00;Outros impressos publicitários, catálogos comerciais e semelhantes
28.049.00;Outras meias de malha de outras matérias têxteis
28.050.00;Outros acessórios confeccionados, de vestuário
28.051.00;Roupas de toucador/cozinha, de tecidos atoalhados de algodão
28.052.00;Outros artefatos têxteis confeccionados
28.053.00;Chapéus e outros artefatos de outras matérias, exceto de malha
28.054.00;Artigos para outras festas, carnaval ou outros divertimentos
28.055.00;Produtos destinados à higiene bucal
28.056.00;Outros produtos cosméticos e de higiene pessoal não relacionados em outros itens deste anexo
28.057.00;Outros artigos destinados a cuidados pessoais não relacionados em outros itens deste anexo
28.058.00;Acessórios (por exemplo, bijuterias, relógios, óculos de sol, bolsas, mochilas, frasqueiras, carteiras, porta-cartões, porta-documentos, porta-celulares e embalagens presenteáveis (por exemplo, caixinhas de papel), entre outros itens assemelhados)
28.059.00;"Vestuário e seus acessórios; calçados, polainas e artefatos semelhantes, e suas partes"
28.060.00;Outros artigos de vestuário em geral, exceto os relacionados no item anterior
28.061.00;Artigos de casa
28.062.00;Produtos das indústrias alimentares e bebidas
28.063.00;Produtos de limpeza e conservação doméstica
28.064.00;Artigos infantis
28.999.00;Outros produtos comercializados pelo sistema de marketing direto porta-a-porta a consumidor final não relacionados em outros itens deste anexo
